,aspects,frequency,emotions,Performance_C,Performance
204,more advanced teacher,1,,C,76.89
205,So youll put,1,Sad,C,76.89
206,too much stuff,1,Angry,C,76.89
207,too much time,1,,C,76.89
208,really cool okay,1,Happy,B,88.17
209,underscore vowel parentheses,1,,B,88.17
210,pretty rough time,1,Happy,B,88.17
211,so okay Okay,1,,B,88.17
212,youre right Youre,1,Fear,B,88.17
213,then total Oh,1,,B,88.17
214,otherwise thatll complicate,1,Fear,B,88.17
215,as high values,1,Fear,B,88.17
216,pretty huge difference,1,Happy,B,88.17
217,still youre fine,1,Happy,B,88.17
218,slightly different way,1,,B,88.17
219,most halfassed hand,1,,B,88.17
220,So int total,1,,B,88.17
221,so much ways,1,,A,92.66
222,really cool Im,1,Happy,A,92.66
223,also different settings,1,,A,92.66
224,dot next int,1,,A,92.66
225,not great Seven,1,Happy,A,92.66
226,Well good luck,1,Happy,A,92.66
227,so self explanatory,1,Fear,A,92.66
228,just different order,1,,A,92.66
229,So new array,1,,A,92.66
230,Not good Okay,1,Sad,A,92.66
231,not true Cause,1,,A,92.66
232,Names Yous aid,1,,A,92.66
233,First okay Second,1,Surprise,A,92.66
234,not random Okay,1,,A,92.66
235,youre right okay,1,Fear,A,92.66
236,So stonehowprint line,1,Fear,A,92.66
237,youre right thats,1,Fear,A,92.66
238,so close Okay,1,Happy,A,92.66
239,here okay Hey,1,Surprise,B,87.97
240,not fair thats,1,,B,87.97
241,completely honest Yeah,1,,B,87.97
242,really good one,1,Happy,B,87.97
243,so foreign language,1,Surprise,B,87.97
244,still wrong Seven,1,,B,87.97
245,ta know whats,1,,B,87.97
246,really big eyes,1,Surprise,B,87.97
247,Eleven binary Twelve,1,,B,87.97
248,little more credit,1,Fear,B,87.97
249,completely different song,1,,B,87.97
250,so old Hes,1,,B,87.97
251,really cool Kind,1,Happy,B,87.97
252,too late Ill,1,Sad,B,87.97
253,really old song,1,Surprise,B,87.97
254,pretty sure thats,1,Happy,C,75.23
255,really hear cause,1,Surprise,C,75.23
256,really mellow queer,1,Angry,C,75.23
257,most practical use,1,,C,75.23
258,just big numbers,1,Fear,C,75.23
259,so fucking ea,1,Happy,B,83
260,not cool cause,1,Angry,B,83
261,as much work,1,Fear,B,83
262,so array size,1,,B,83
263,Literally step Ive,1,,B,83
264,just didnt understand,1,,B,83
265,too many distractions,1,Sad,B,83
266,too stuckup Youd,1,,B,83
267,here early Lets,1,Sad,B,83
268,too much Especially,1,,B,83
269,really dumb way,1,Surprise,C,73.66
270,Well id dont,1,,C,73.66
271,so mid equals,1,,C,73.66
272,not wrong Shes,1,Happy,C,73.66
273,not binary gender,1,,C,73.66
274,too expensive Half,1,,C,73.66
275,really thrive living,1,Surprise,C,73.66
276,Yeah right Im,1,Fear,C,73.66
277,just unfortunate timing,1,Sad,C,73.66
