Yeah we did. First one. ...,,,
[crosstalk 02:17:29] false.,,,
That's my reference.,,,
Copies and values.,,,
And make a copy.,,,
I'm really sorry for ...,,,
"We, our condolences [crosstalk 02:19:21]",,,
Not in the scope.,,,
It's whatever. ...,,,
Is there an exit form?,,,
Yeah right! ...,,,
"Okay, did you all get the answers yet?",,,
,,,
"Yeah, he hit us up last night, or they thought you were gone.",,,
"Yeah, he missed you a lot. ",,,
Yeah.,,,
[inaudible 00:00:42] and put like David with a little heart. David [inaudible 00:00:44] heart. ,,,
"There's like a new TA. Oh so this is one, then.",,,
The value three? Four?,,,
It's just one. I'll need to retrace the steps. ,,,
"All right, make sure. I've only done my shit. I'm not even there. ",,,
"Wait, what did you get for number nine? ",,,
"Ball, a ball?",,,
But there's no six here.,,,
"No. Wait, where?",,,
Oh.,,,
I answered it wrong. My bad. Okay.,,,
Is this a binary search?,,,
Oh. My bad.,,,
I fucking hate this recorder. ,,,
I know. He's dropping.,,,
"Yeah. I just had no sleep, I'm sorry. ",,,
He starts crying.,,,
"Yo, what's up with ten?",,,
You have ten? ,,,
I like the code for like the binary-,,,
"Because, linear says you can do one or you can do power of one, array is, but binary search you're always going to do like seventy steps.",,,
What are you pulling out? ,,,
What are you pulling out? ,,,
14 didn't mean that. ,,,
Yeah his dinner. Which is-,,,
"Dude, your bag's O.G.",,,
And now?,,,
Go look at 269. ,,,
Small? First?,,,
"All right, now eight forty-four. ",,,
Or eight eight four. ,,,
Eight eight four.,,,
"Mm-hmm . (affirmative) Section 23 point 3, so just look at the section more than anything. ",,,
"Wait, why is yours messed up, is this Adobe? ",,,
No! What are you talking about?,,,
I've never had that problem. ,,,
"Like the theory, whatever. ",,,
"I don't, no.",,,
Yeah. ,,,
Four.,,,
A bubble sorts the array in-,,,
You just answered it. Smallest.,,,
A bubble sorts an array in blank. ,,,
A bubble sorts an array in blank.,,,
"Just go to 23.3, that's the section. ",,,
I think trust the section more than anything.,,,
Sorts the array in blank. So what is blank? ,,,
It would have to be in this section. ,,,
Is either a single or multiple?,,,
A multiple or a single. A multiple or a single. ,,,
It was right in front of our face. If it was a snake it would bite us. ,,,
I don't know. Do you actually have to watch this video? ,,,
"Five, three, two...eight.",,,
"They swap...Oh, is it the one where like they test a first one, then the second one, then the third one? Because look they swapped it for the...I fucking hate this.",,,
"I think I know how to do this one. See how they swapped the first one, because it's missing this? ",,,
Swapped it. ,,,
They're testing one and zero. ,,,
Goddammit. ,,,
Which one? ,,,
What is four? ,,,
Multiples or singles?,,,
"Oh, so this one? ",,,
Headphones?,,,
"That'd be annoying, hearing double in your voice. ",,,
It's like having two twitch streams open-,,,
Huh? ,,,
Wait these two are the same for me though. ,,,
"Three two five eight, three two five eight. ",,,
"Two, three, five. ",,,
Eight. ,,,
"Seven, nine, eight. ",,,
The third one?,,,
"Number three, can you say it for me?",,,
"David. David, come here. I need you. I don't know how to use this. ",,,
13,,,
Six. Because I had to go to my TA's office hours because I have a huge test on Thursday.,,,
April 9th. Say yours again.,,,
Say yours.,,,
"Okay. Want me to show the PDF? My computer just shows up in every single mistake you can think of. Okay, what's its name?",,,
"[Mia 00:04:38], is that supposed to be telling us the size of it, or no?",,,
Is that supposed to be telling us what's in the array or the size of the array?,,,
"Yeah, is that generating random numbers in the array, or is it supposed to tell us, like, I don't know.",,,
That's going to be what? The size or the values of it?,,,
All right. Print the array of the right formatting.,,,
"Print the array of the right formatting. For example, if this row-",,,
What's that supposed to be? Just-,,,
"We are. So you're [inaudible 00:06:47] these x's. Look at the thing. Look, is it... something like that.",,,
I forgot. I can't tell you.,,,
Do you put that in the for loop?,,,
"So it makes a random one, I don't know.",,,
Okay.,,,
"Right here, right?",,,
"Main array, [crosstalk 00:20:12]. Or more importantly, the fact that this is all justifiable after it shouldn't be. All right, you should be able to do this quickly fix it, but...",,,
"Oh, okay.",,,
"Yeah, that's true.",,,
"No. Yeah, well, I looked out...",,,
This girl [inaudible 00:24:59] like both of them. This nested for loop.,,,
The book.,,,
The column and the row?,,,
Row.,,,
Yep.,,,
"Array.length, whatever your array is. That's opposite.",,,
Yep.,,,
Let me see what it looks like.,,,
What the hell? It fixed itself if you put a nested for loop in it.,,,
Does it specify how many rows and columns it is?,,,
What does the error say? Local variable has not been initialized.,,,
"Oh, I put this part. I did it [inaudible 00:27:46] like that thing.",,,
I'm just sleepy.,,,
"Yeah, well that's why, this is the-",,,
"Because this is just for getting the random numbers, but I haven't initialized the length or anything so I don't know how... what's the length supposed to be?",,,
"I don't know, I haven't made the-",,,
"I've indexed it, like how long is it supposed to be, the length?",,,
I don't know how... Do you know what the array is supposed to be.,,,
Are you going to try to print it?,,,
"But it's not going to print anything, [inaudible 00:29:30] send out anything.",,,
Yeah. How long are the arrays supposed to be in this? How long is the array supposed to be?,,,
Yeah.,,,
"Oh, the length?",,,
Separate what?,,,
"291. Or no, 314, I mean. Or 291. Yeah, that's right, 291.",,,
You out? Are you?,,,
[inaudible 00:35:48] it was 8:15.,,,
"He says he could do it by 8:15, it was easy.",,,
He's dead.,,,
He didn't sleep last night.,,,
"Hey, Q? Why is this out of bounds?",,,
"I made a for loop to generate random numbers for this one. And this one, I just tried to make their own column random.",,,
I think I made this okay.,,,
But it's out of bounds when I try to run it.,,,
"Is it? Oh, it's right.",,,
"It runs, but sometimes it's out of bounds.",,,
"When I run this, sometimes it's okay, but sometimes it gives me out of bounds.",,,
Oh.,,,
"All right, thank you.",,,
"Oh, okay.",,,
Just the first couple of parts? I haven't done the sum of it or anything yet.,,,
"I don't think the math.random is right for mine, but it should be right otherwise.",,,
"Generates the random row and column, you know what I mean?",,,
Making random numbers in the rows.,,,
Yeah.,,,
We're making progress.,,,
Do you see [inaudible 00:45:55].,,,
"The only thing that still might be wrong is the math.random, but the rest should be right. You got it?",,,
This is the for loop to print it.,,,
You do column...,,,
"It's basically the same for loop besides this part, really.",,,
"Just copy this part. This is to print it out, this is just to make the math... it's like one through...",,,
What?,,,
Which one?,,,
"It's the same exact thing, but you just do row column plus space.",,,
"Yeah, for row and column, to print out both of them.",,,
Maybe. I'm trying to see if this is right.,,,
I was supposed to get you that energy drink so you'd be amped up.,,,
"Get amped up, dude.",,,
It seems like you're dying.,,,
Only 20 games of League.,,,
[crosstalk 00:53:26] 25 minutes.,,,
"Sometimes, not really.",,,
Is this already late?,,,
"If this is already late, I'm leaving. Is this already late?",,,
"If this is already late, I'm just leaving it, doing it some other time.",,,
Because there's already a deduction no matter if I finish in the next 30 minutes or before 12 tomorrow.,,,
Yeah.,,,
Which one?,,,
So it's the same for loops.,,,
Or you put the same for loops.,,,
Nope.,,,
Thirteen.,,,
Thirteen.,,,
What does your first four loop look like?,,,
What does your first four loop look like?,,,
It doesn't work?,,,
Looks random.,,,
Still trying to get a...,,,
Make it like two by two and then circle.,,,
"Or like three by three. I mean, you could do that but... it wouldn't be that hard.",,,
It would take two seconds.,,,
